id,agent,start,end,direction,status,activity,comment
,mstupak,2025-10-01T00:00:00,2025-10-02T00:00:00,calls,vacation,,
,mstupak,2025-10-02T00:00:00,2025-10-03T00:00:00,calls,vacation,,
,mstupak,2025-10-03T00:00:00,2025-10-04T00:00:00,calls,vacation,,
,mstupak,2025-10-04T00:00:00,2025-10-05T00:00:00,calls,vacation,,
,mstupak,2025-10-05T00:00:00,2025-10-06T00:00:00,calls,vacation,,
,mstupak,2025-10-08T17:00:00,2025-10-09T00:00:00,calls,work,,
,mstupak,2025-10-09T16:00:00,2025-10-09T23:00:00,calls,work,,
,mstupak,2025-10-10T17:00:00,2025-10-11T00:00:00,calls,work,,
,mstupak,2025-10-11T17:00:00,2025-10-12T00:00:00,calls,work,,
,mstupak,2025-10-12T16:00:00,2025-10-12T23:00:00,calls,work,,
,mstupak,2025-10-14T16:00:00,2025-10-14T23:00:00,calls,work,,
,mstupak,2025-10-15T17:00:00,2025-10-16T00:00:00,calls,work,,
,mstupak,2025-10-17T17:00:00,2025-10-18T00:00:00,calls,work,,
,mstupak,2025-10-18T17:00:00,2025-10-19T00:00:00,calls,work,,
,mstupak,2025-10-19T15:00:00,2025-10-19T22:00:00,calls,work,,
,mstupak,2025-10-22T07:00:00,2025-10-22T14:00:00,calls,work,,
,mstupak,2025-10-23T07:00:00,2025-10-23T14:00:00,calls,work,,
,mstupak,2025-10-24T06:00:00,2025-10-24T14:00:00,calls,work,,
,mstupak,2025-10-25T08:00:00,2025-10-25T15:00:00,calls,work,,
,mstupak,2025-10-26T08:00:00,2025-10-26T15:00:00,calls,work,,
,mstupak,2025-10-28T06:00:00,2025-10-28T13:00:00,calls,work,,
,mstupak,2025-10-29T06:00:00,2025-10-29T13:00:00,calls,work,,
,mstupak,2025-10-31T06:00:00,2025-10-31T13:00:00,calls,work,,
,gandrusenko,2025-10-01T23:00:00,2025-10-02T06:00:00,calls,work,,
,gandrusenko,2025-10-03T17:00:00,2025-10-04T00:00:00,calls,work,,
,gandrusenko,2025-10-04T17:00:00,2025-10-05T00:00:00,calls,work,,
,gandrusenko,2025-10-05T16:00:00,2025-10-05T23:00:00,calls,work,,
,gandrusenko,2025-10-07T08:00:00,2025-10-07T15:00:00,calls,work,,
,gandrusenko,2025-10-08T08:00:00,2025-10-08T15:00:00,calls,work,,
,gandrusenko,2025-10-09T16:00:00,2025-10-09T23:00:00,calls,work,,
